"id","_name","elemental_type","skill_type","skill_category","skill_target_type","hit_count","cooldown","combo"
"100000","기본 공격","Normal","Attack","NormalAttack","Enemy","1","0",""
"100001","일격","Normal","Attack","BlowAttack","Enemy","1","1",""
"_100002","일격(전체)","Normal","Attack","BlowAttack","Enemies","1","1 // 노멀 속성의 전체 일격은 추가하면 안 됩니다.",""
"100003","연사","Normal","Attack","DoubleAttack","Enemy","2","1",""
"100005","광역 난사","Normal","Attack","AreaAttack","Enemies","5","1",""
"110000","불 공격","Fire","Attack","NormalAttack","Enemy","1","1",""
"110001","불꽃 일격","Fire","Attack","BlowAttack","Enemy","1","5",""
"110002","불꽃 일격(전체)","Fire","Attack","BlowAttack","Enemies","1","13",""
"110003","불꽃 연사","Fire","Attack","DoubleAttack","Enemy","2","3",""
"110004","불꽃 연사(전체)","Fire","Attack","DoubleAttack","Enemy","2","13",""
"110005","용암 해일","Fire","Attack","AreaAttack","Enemies","5","13",""
"110006","Flame Attack (ATK)","Fire","Attack","AreaAttack","Enemies","5","13",""
"110007","Flame Attack (DEF)","Fire","Attack","AreaAttack","Enemies","5","13",""
"110008","Barrage Aura (ATK)","Fire","Attack","AreaAttack","Enemies","5","14",""
"110009","불꽃 일격 (Rune)","Fire","Attack","BlowAttack","Enemy","1","5",""
"120000","물 공격","Water","Attack","NormalAttack","Enemy","1","1",""
"120001","얼음 일격","Water","Attack","BlowAttack","Enemy","1","5",""
"120002","얼음 일격(전체)","Water","Attack","BlowAttack","Enemies","1","13",""
"120003","얼음 연사","Water","Attack","DoubleAttack","Enemy","2","3",""
"120004","얼음 연사(전체)","Water","Attack","DoubleAttack","Enemy","2","13",""
"120005","얼음 해일","Water","Attack","AreaAttack","Enemies","5","13",""
"130000","땅 공격","Land","Attack","NormalAttack","Enemy","1","1",""
"130001","모래 일격","Land","Attack","BlowAttack","Enemy","1","5",""
"130002","모래 일격(전체)","Land","Attack","BlowAttack","Enemies","1","13",""
"130003","모래 연사","Land","Attack","DoubleAttack","Enemy","2","3",""
"130004","모래 연사(전체)","Land","Attack","DoubleAttack","Enemy","2","13",""
"130005","모래 폭풍","Land","Attack","AreaAttack","Enemies","5","13",""
"130006","Sand Attack (ATK)","Land","Attack","AreaAttack","Enemies","5","13",""
